"days_to_release","mae_blend","n","model","rmse"
150,0.485790299328364,35,"labour",0.99990191297655
150,0.485790299328364,35,"expenditure",0.770648681257606
150,0.485790299328364,35,"blend",0.83339563579809
150,0.485790299328364,35,"ar1",0.758968893981357
150,0.485790299328364,35,"hist_mean",0.71201722820518
120,0.476056910847616,35,"labour",0.957964550911908
120,0.476056910847616,35,"expenditure",0.74862378590863
120,0.476056910847616,35,"blend",0.811783703515425
120,0.476056910847616,35,"ar1",0.758968893981357
120,0.476056910847616,35,"hist_mean",0.71201722820518
90,0.729037636715585,35,"labour",1.15207596006039
90,0.729037636715585,35,"expenditure",2.10876444283805
90,0.729037636715585,35,"blend",1.1611149071818
90,0.729037636715585,35,"ar1",0.754937380089215
90,0.729037636715585,35,"hist_mean",0.7197674979668
60,0.445102104932483,35,"labour",0.762648116588208
60,0.445102104932483,35,"expenditure",2.20494985889702
60,0.445102104932483,35,"blend",0.739146338578499
60,0.445102104932483,35,"ar1",0.754411531864786
60,0.445102104932483,35,"hist_mean",0.720517707706154
45,0.461439934322283,35,"labour",0.741309236656848
45,0.461439934322283,35,"expenditure",2.24238876266669
45,0.461439934322283,35,"blend",0.777677424956315
45,0.461439934322283,35,"ar1",0.754411531864786
45,0.461439934322283,35,"hist_mean",0.720517707706154
30,0.399885755974324,35,"labour",0.741309236656848
30,0.399885755974324,35,"expenditure",0.815608434889368
30,0.399885755974324,35,"blend",0.57079272416055
30,0.399885755974324,35,"ar1",0.754411531864786
30,0.399885755974324,35,"hist_mean",0.720517707706154
20,0.398541470732926,35,"labour",0.741309236656848
20,0.398541470732926,35,"expenditure",0.831113975857491
20,0.398541470732926,35,"blend",0.555109396344234
20,0.398541470732926,35,"ar1",0.754411531864786
20,0.398541470732926,35,"hist_mean",0.720517707706154
10,0.397629726900108,35,"labour",0.741309236656848
10,0.397629726900108,35,"expenditure",0.819913322952749
10,0.397629726900108,35,"blend",0.54447238496136
10,0.397629726900108,35,"ar1",0.754411531864786
10,0.397629726900108,35,"hist_mean",0.720517707706154
5,0.398640438568775,35,"labour",0.741309236656848
5,0.398640438568775,35,"expenditure",0.860010134294683
5,0.398640438568775,35,"blend",0.556264021095805
5,0.398640438568775,35,"ar1",0.754411531864786
5,0.398640438568775,35,"hist_mean",0.720517707706154
1,0.395113793504071,35,"labour",0.741309236656848
1,0.395113793504071,35,"expenditure",0.78367755147719
1,0.395113793504071,35,"blend",0.515119828674254
1,0.395113793504071,35,"ar1",0.754411531864786
1,0.395113793504071,35,"hist_mean",0.720517707706154
