"key","ok","stale","note","latest"
"natacc",TRUE,FALSE,"seed vintage from cache 2026-06-10",2026-03-01
"hours",TRUE,FALSE,"seed vintage from cache 2026-06-10",2026-04-01
"mhsi",TRUE,FALSE,"seed vintage from cache 2026-06-10",2026-04-01
"trade",TRUE,FALSE,"seed vintage from cache 2026-06-10",2026-04-01
"approvals",TRUE,FALSE,"seed vintage from cache 2026-06-10",2026-04-01
"construction",TRUE,FALSE,"seed vintage from cache 2026-06-10",2026-03-01
"capex",TRUE,FALSE,"seed vintage from cache 2026-06-10",2026-03-01
"busind",TRUE,FALSE,"seed vintage from cache 2026-06-10",2026-03-01
"bop",TRUE,FALSE,"seed vintage from cache 2026-06-10",2026-03-01
"cpi",TRUE,FALSE,"seed vintage from cache 2026-06-10",2026-04-01
"vacancies",TRUE,FALSE,"seed vintage from cache 2026-06-10",2026-02-15
"rba_credit",TRUE,FALSE,"seed vintage from cache 2026-06-10",2026-04-30
"cpi_old",TRUE,FALSE,"seed vintage from cache 2026-06-10",2025-09-01
"lfs",TRUE,FALSE,"seed vintage from cache 2026-06-10",2026-04-01
"gfs",TRUE,FALSE,"seed vintage from cache 2026-06-10",2026-01-01
