"key","n","latest","hash"
"natacc",73425,"2026-03-01","73425-22086551.2-2026-03-01"
"hours",8655,"2026-07-01","8655-4311872.407764-2026-07-01"
"lfs",1164,"2026-07-01","1164-300337.2855647-2026-07-01"
"mhsi",5070,"2026-07-01","5070-1682675.5-2026-07-01"
"trade",7260,"2026-06-01","7260-3047303-2026-06-01"
"approvals",7224,"2026-06-01","7224-3467626-2026-06-01"
"construction",3744,"2026-06-01","3744-1650980-2026-06-01"
"capex",8892,"2026-06-01","8892-3168965-2026-06-01"
"busind",2296,"2026-06-01","2296-1116517-2026-06-01"
"bop",7743,"2026-03-01","7743-2025973.7-2026-03-01"
"cpi",756,"2026-07-01","756-93309.72-2026-07-01"
"cpi_old",6887,"2025-09-01","6887-810276.9-2025-09-01"
"vacancies",3591,"2026-05-15","3591-80726.6-2026-05-15"
"gfs",13,"2026-01-01","13-5132-2026-01-01"
"rba_credit",11831,"2026-07-31","11831-3922499.647803-2026-07-31"
